item_id,item_name,category,household_id,quantity,min_stock_level,mean_daily_usage,daily_usage_variance,refill_lead_time_days,target_label
ITM006,Chicken Breast,Meat,HH010,3.52,0.93,0.145,0.103,5,0
ITM002,Eggs,Dairy,HH005,4.79,0.85,0.234,0.065,1,0
ITM008,Yogurt,Dairy,HH019,7.8,1.63,0.767,0.394,5,0
ITM007,Tomatoes,Produce,HH004,2.94,0.77,0.369,0.13,3,1
ITM004,Rice,Grains,HH018,0.83,0.35,0.222,0.023,4,1
ITM007,Tomatoes,Produce,HH018,5.73,1.33,0.37,0.075,3,0
ITM009,Cheese,Dairy,HH003,2.0,0.4,0.143,0.078,3,0
ITM004,Rice,Grains,HH003,2.44,0.55,0.179,0.135,4,0
ITM010,Bananas,Produce,HH016,5.68,1.12,0.254,0.035,5,0
ITM003,Bread,Bakery,HH009,4.6,1.09,0.663,0.28,4,0
ITM001,Milk,Dairy,HH003,6.46,1.8,0.748,0.396,1,0
ITM005,Ice Cream,Frozen,HH012,5.19,0.78,0.18,0.129,3,0
ITM009,Cheese,Dairy,HH014,1.05,0.28,0.13,0.085,2,1
ITM010,Bananas,Produce,HH008,5.52,0.99,0.402,0.135,3,0
ITM015,Butter,Dairy,HH011,1.3,0.23,0.075,0.043,5,0
ITM007,Tomatoes,Produce,HH016,8.4,1.21,0.331,0.042,4,0
ITM011,Cereal,Pantry,HH004,0.35,0.22,0.172,0.029,1,1
ITM010,Bananas,Produce,HH006,5.81,0.98,0.305,0.137,2,0
ITM004,Rice,Grains,HH006,2.01,0.35,0.125,0.088,4,0
ITM012,Cooking Oil,Pantry,HH009,0.83,0.19,0.074,0.028,2,0
ITM011,Cereal,Pantry,HH010,0.33,0.36,0.074,0.035,3,1
ITM008,Yogurt,Dairy,HH019,4.55,1.22,0.657,0.201,3,1
ITM004,Rice,Grains,HH016,2.74,0.54,0.136,0.028,5,0
ITM006,Chicken Breast,Meat,HH009,1.5,0.69,0.471,0.148,1,1
ITM008,Yogurt,Dairy,HH001,6.83,1.3,0.508,0.163,3,0
ITM009,Cheese,Dairy,HH010,0.27,0.23,0.043,0.01,2,1
ITM015,Butter,Dairy,HH014,0.87,0.22,0.111,0.033,3,1
ITM002,Eggs,Dairy,HH014,5.48,1.44,0.539,0.23,2,0
ITM015,Butter,Dairy,HH014,0.81,0.17,0.11,0.031,3,1
ITM001,Milk,Dairy,HH002,7.81,1.66,0.468,0.308,2,0
ITM015,Butter,Dairy,HH005,0.6,0.22,0.061,0.033,4,0
ITM010,Bananas,Produce,HH017,8.05,1.3,0.428,0.32,2,0
ITM001,Milk,Dairy,HH008,2.77,1.47,0.599,0.307,5,1
ITM010,Bananas,Produce,HH008,1.86,1.49,0.409,0.311,5,1
ITM007,Tomatoes,Produce,HH002,4.36,0.97,0.329,0.215,1,0
ITM015,Butter,Dairy,HH017,1.8,0.3,0.086,0.057,4,0
ITM001,Milk,Dairy,HH001,4.35,1.53,0.531,0.389,1,1
ITM004,Rice,Grains,HH015,2.0,0.53,0.077,0.01,4,0
ITM007,Tomatoes,Produce,HH015,0.79,0.76,0.219,0.106,1,1
ITM002,Eggs,Dairy,HH016,2.11,1.23,0.402,0.05,4,1
ITM013,Frozen Peas,Frozen,HH014,0.23,0.31,0.173,0.021,2,1
ITM006,Chicken Breast,Meat,HH016,3.64,1.1,0.17,0.082,2,0
ITM001,Milk,Dairy,HH006,7.81,1.24,0.524,0.311,4,0
ITM007,Tomatoes,Produce,HH010,6.06,1.05,0.218,0.076,1,0
ITM015,Butter,Dairy,HH014,1.76,0.27,0.128,0.062,3,0
ITM014,Orange Juice,Beverages,HH020,2.93,1.18,0.207,0.134,4,0
ITM010,Bananas,Produce,HH014,2.27,1.48,0.614,0.114,4,1
ITM006,Chicken Breast,Meat,HH004,1.03,0.85,0.344,0.238,5,1
ITM002,Eggs,Dairy,HH019,4.75,1.25,0.545,0.35,3,1
ITM013,Frozen Peas,Frozen,HH009,2.08,0.58,0.149,0.091,3,0
ITM009,Cheese,Dairy,HH019,1.25,0.28,0.144,0.068,3,1
ITM002,Eggs,Dairy,HH020,2.86,0.81,0.285,0.091,1,1
ITM003,Bread,Bakery,HH004,4.72,1.7,0.898,0.342,3,1
ITM004,Rice,Grains,HH001,1.25,0.39,0.116,0.076,4,1
ITM007,Tomatoes,Produce,HH017,4.79,1.0,0.348,0.066,1,0
ITM011,Cereal,Pantry,HH019,0.35,0.23,0.164,0.089,5,1
ITM012,Cooking Oil,Pantry,HH001,0.32,0.17,0.039,0.023,1,1
ITM010,Bananas,Produce,HH013,1.24,0.9,0.468,0.144,2,1
ITM007,Tomatoes,Produce,HH002,2.4,0.87,0.441,0.136,2,1
ITM001,Milk,Dairy,HH013,5.07,1.36,0.807,0.558,2,1
ITM011,Cereal,Pantry,HH018,1.52,0.28,0.125,0.024,1,0
ITM001,Milk,Dairy,HH012,8.14,1.65,0.451,0.204,3,0
ITM004,Rice,Grains,HH017,1.09,0.34,0.142,0.112,1,1
ITM011,Cereal,Pantry,HH017,0.68,0.38,0.083,0.036,1,1
ITM004,Rice,Grains,HH006,2.71,0.52,0.102,0.03,4,0
ITM009,Cheese,Dairy,HH009,2.49,0.39,0.154,0.119,4,0
ITM006,Chicken Breast,Meat,HH008,3.42,0.77,0.402,0.218,1,1
ITM003,Bread,Bakery,HH008,2.42,1.45,0.436,0.166,1,1
ITM014,Orange Juice,Beverages,HH019,2.36,0.61,0.299,0.156,1,1
ITM008,Yogurt,Dairy,HH020,1.27,1.85,0.249,0.185,1,1
ITM009,Cheese,Dairy,HH008,0.54,0.36,0.13,0.093,2,1
ITM008,Yogurt,Dairy,HH006,5.54,1.87,0.348,0.202,4,0
ITM002,Eggs,Dairy,HH011,9.01,1.43,0.265,0.195,4,0
ITM014,Orange Juice,Beverages,HH007,3.96,0.61,0.246,0.089,4,0
ITM010,Bananas,Produce,HH010,4.88,1.38,0.303,0.185,5,0
ITM007,Tomatoes,Produce,HH003,1.96,0.88,0.353,0.185,4,1
ITM008,Yogurt,Dairy,HH008,8.04,1.4,0.654,0.084,1,0
ITM002,Eggs,Dairy,HH012,4.81,1.0,0.297,0.214,1,0
ITM004,Rice,Grains,HH006,1.73,0.43,0.097,0.045,5,0
ITM015,Butter,Dairy,HH012,0.9,0.17,0.069,0.045,2,0
ITM007,Tomatoes,Produce,HH015,5.85,1.34,0.175,0.054,2,0
ITM014,Orange Juice,Beverages,HH012,0.94,1.14,0.265,0.172,1,1
ITM008,Yogurt,Dairy,HH009,5.42,1.44,0.908,0.519,2,1
ITM008,Yogurt,Dairy,HH012,4.87,1.06,0.58,0.315,2,0
ITM013,Frozen Peas,Frozen,HH009,2.28,0.43,0.149,0.084,3,0
ITM011,Cereal,Pantry,HH007,1.74,0.35,0.115,0.029,4,0
ITM014,Orange Juice,Beverages,HH018,2.97,0.72,0.465,0.2,5,1
ITM015,Butter,Dairy,HH006,0.56,0.19,0.08,0.06,5,1
ITM010,Bananas,Produce,HH015,5.07,1.07,0.269,0.194,5,0
ITM003,Bread,Bakery,HH011,6.37,1.79,0.495,0.239,1,0
ITM005,Ice Cream,Frozen,HH010,1.76,0.73,0.105,0.023,4,0
ITM012,Cooking Oil,Pantry,HH020,0.45,0.1,0.024,0.003,3,0
ITM013,Frozen Peas,Frozen,HH012,1.4,0.53,0.159,0.076,2,1
ITM001,Milk,Dairy,HH017,10.24,1.98,0.647,0.251,2,0
ITM001,Milk,Dairy,HH008,10.4,2.13,0.661,0.423,1,0
ITM002,Eggs,Dairy,HH008,4.67,0.82,0.555,0.156,5,1
ITM014,Orange Juice,Beverages,HH013,1.61,1.11,0.458,0.112,4,1
ITM005,Ice Cream,Frozen,HH008,2.87,0.54,0.213,0.087,3,0
ITM008,Yogurt,Dairy,HH011,0.95,1.28,0.516,0.087,3,1
ITM006,Chicken Breast,Meat,HH020,3.08,0.68,0.162,0.036,4,0
ITM005,Ice Cream,Frozen,HH001,0.6,0.5,0.164,0.021,5,1
ITM004,Rice,Grains,HH009,0.43,0.41,0.192,0.019,3,1
ITM005,Ice Cream,Frozen,HH008,3.42,0.67,0.248,0.127,2,0
ITM007,Tomatoes,Produce,HH002,4.23,0.86,0.418,0.18,1,0
ITM004,Rice,Grains,HH009,2.34,0.45,0.273,0.098,2,0
ITM011,Cereal,Pantry,HH001,0.39,0.25,0.087,0.011,5,1
ITM002,Eggs,Dairy,HH003,2.75,1.41,0.452,0.176,4,1
ITM013,Frozen Peas,Frozen,HH020,1.54,0.4,0.092,0.057,3,0
ITM001,Milk,Dairy,HH002,6.71,1.98,0.568,0.067,1,0
ITM006,Chicken Breast,Meat,HH008,1.06,1.15,0.454,0.249,1,1
ITM008,Yogurt,Dairy,HH005,1.94,1.61,0.329,0.171,3,1
ITM013,Frozen Peas,Frozen,HH009,0.47,0.47,0.161,0.036,3,1
ITM009,Cheese,Dairy,HH003,0.58,0.25,0.134,0.059,1,1
ITM014,Orange Juice,Beverages,HH008,0.79,0.82,0.442,0.333,5,1
ITM014,Orange Juice,Beverages,HH008,2.01,0.68,0.378,0.049,5,1
ITM005,Ice Cream,Frozen,HH012,1.7,0.78,0.214,0.166,5,1
ITM008,Yogurt,Dairy,HH016,2.3,1.35,0.386,0.212,4,1
ITM009,Cheese,Dairy,HH006,1.3,0.31,0.075,0.032,4,0
ITM009,Cheese,Dairy,HH020,0.61,0.31,0.068,0.009,3,1
ITM011,Cereal,Pantry,HH020,1.69,0.31,0.074,0.036,3,0
ITM007,Tomatoes,Produce,HH016,5.04,1.25,0.342,0.215,4,0
ITM012,Cooking Oil,Pantry,HH015,0.58,0.14,0.034,0.017,1,0
ITM008,Yogurt,Dairy,HH014,8.05,1.88,0.906,0.332,3,0
ITM004,Rice,Grains,HH010,1.65,0.43,0.114,0.012,2,0
ITM013,Frozen Peas,Frozen,HH007,3.02,0.44,0.114,0.061,4,0
ITM015,Butter,Dairy,HH011,0.38,0.27,0.053,0.011,3,1
ITM009,Cheese,Dairy,HH019,2.38,0.35,0.162,0.127,2,0
ITM004,Rice,Grains,HH012,0.76,0.5,0.176,0.096,3,1
ITM011,Cereal,Pantry,HH013,1.12,0.35,0.136,0.038,2,1
ITM005,Ice Cream,Frozen,HH011,1.63,0.61,0.127,0.028,5,0
ITM007,Tomatoes,Produce,HH009,3.45,0.89,0.572,0.097,4,1
ITM002,Eggs,Dairy,HH018,5.09,1.03,0.368,0.072,1,0
ITM012,Cooking Oil,Pantry,HH005,0.69,0.15,0.025,0.018,2,0
ITM014,Orange Juice,Beverages,HH002,1.11,0.6,0.345,0.084,2,1
ITM004,Rice,Grains,HH002,2.55,0.55,0.16,0.033,5,0
ITM010,Bananas,Produce,HH017,0.96,1.09,0.307,0.067,4,1
ITM004,Rice,Grains,HH015,3.4,0.53,0.079,0.049,5,0
ITM006,Chicken Breast,Meat,HH006,2.56,0.69,0.282,0.085,3,1
ITM015,Butter,Dairy,HH011,0.93,0.31,0.061,0.027,1,0
ITM003,Bread,Bakery,HH018,9.85,1.66,0.717,0.321,3,0
ITM009,Cheese,Dairy,HH001,1.85,0.32,0.057,0.011,5,0
ITM008,Yogurt,Dairy,HH018,1.06,1.3,0.508,0.341,1,1
ITM004,Rice,Grains,HH005,0.31,0.48,0.096,0.069,4,1
ITM002,Eggs,Dairy,HH006,9.74,1.48,0.378,0.21,3,0
ITM003,Bread,Bakery,HH015,11.0,1.73,0.245,0.119,5,0
ITM014,Orange Juice,Beverages,HH004,3.92,0.75,0.464,0.059,3,1
ITM011,Cereal,Pantry,HH015,1.4,0.23,0.049,0.014,3,0
ITM011,Cereal,Pantry,HH016,0.16,0.31,0.06,0.032,3,1
ITM014,Orange Juice,Beverages,HH020,1.12,0.75,0.131,0.076,1,1
ITM005,Ice Cream,Frozen,HH008,0.76,0.66,0.221,0.175,2,1
ITM010,Bananas,Produce,HH002,2.24,1.12,0.506,0.371,2,1
ITM009,Cheese,Dairy,HH002,0.39,0.34,0.115,0.028,4,1
ITM004,Rice,Grains,HH007,1.11,0.47,0.106,0.068,2,0
ITM011,Cereal,Pantry,HH006,0.42,0.4,0.091,0.045,2,1
ITM009,Cheese,Dairy,HH013,1.86,0.38,0.104,0.03,1,0
ITM013,Frozen Peas,Frozen,HH004,1.46,0.37,0.148,0.044,3,1
ITM005,Ice Cream,Frozen,HH020,0.96,0.52,0.155,0.106,5,1
ITM015,Butter,Dairy,HH016,0.42,0.26,0.061,0.032,2,1
ITM002,Eggs,Dairy,HH019,1.99,1.49,0.617,0.446,1,1
ITM003,Bread,Bakery,HH019,7.96,1.69,0.856,0.377,2,0
ITM006,Chicken Breast,Meat,HH012,2.99,1.15,0.345,0.202,2,1
ITM013,Frozen Peas,Frozen,HH018,1.72,0.4,0.205,0.108,4,1
ITM013,Frozen Peas,Frozen,HH019,3.38,0.54,0.209,0.082,5,0
ITM013,Frozen Peas,Frozen,HH007,0.35,0.36,0.124,0.066,3,1
ITM003,Bread,Bakery,HH010,7.61,1.61,0.327,0.259,3,0
ITM010,Bananas,Produce,HH001,2.25,1.31,0.323,0.215,4,1
ITM005,Ice Cream,Frozen,HH014,2.31,0.49,0.355,0.179,2,1
ITM007,Tomatoes,Produce,HH020,1.98,1.06,0.149,0.038,4,1
ITM006,Chicken Breast,Meat,HH006,1.63,0.71,0.24,0.123,1,1
ITM001,Milk,Dairy,HH012,7.2,1.93,0.617,0.277,4,0
ITM004,Rice,Grains,HH020,2.4,0.47,0.086,0.03,1,0
ITM004,Rice,Grains,HH015,2.24,0.49,0.103,0.011,2,0
ITM005,Ice Cream,Frozen,HH009,1.36,0.48,0.228,0.067,2,1
ITM007,Tomatoes,Produce,HH013,2.69,0.91,0.407,0.16,2,1
ITM002,Eggs,Dairy,HH009,5.06,1.42,0.592,0.363,3,1
ITM009,Cheese,Dairy,HH017,1.64,0.26,0.106,0.068,4,0
ITM004,Rice,Grains,HH005,3.78,0.56,0.089,0.014,1,0
ITM004,Rice,Grains,HH013,0.59,0.35,0.143,0.026,2,1
ITM010,Bananas,Produce,HH016,5.36,0.8,0.227,0.074,4,0
ITM012,Cooking Oil,Pantry,HH017,0.05,0.1,0.051,0.005,2,1
ITM003,Bread,Bakery,HH002,7.9,1.63,0.576,0.45,4,1
ITM015,Butter,Dairy,HH013,1.61,0.28,0.117,0.085,3,0
ITM009,Cheese,Dairy,HH006,0.81,0.22,0.084,0.048,1,1
ITM003,Bread,Bakery,HH010,10.34,1.51,0.345,0.275,5,0
ITM005,Ice Cream,Frozen,HH009,3.06,0.47,0.321,0.041,5,0
ITM001,Milk,Dairy,HH020,6.83,1.42,0.419,0.064,5,0
ITM007,Tomatoes,Produce,HH019,7.22,1.31,0.355,0.136,1,0
ITM012,Cooking Oil,Pantry,HH005,0.76,0.11,0.035,0.01,4,0
ITM011,Cereal,Pantry,HH020,1.24,0.32,0.078,0.009,3,0
ITM008,Yogurt,Dairy,HH009,2.48,1.21,0.569,0.342,2,1
ITM001,Milk,Dairy,HH007,2.34,2.16,0.632,0.192,3,1
ITM015,Butter,Dairy,HH006,0.77,0.26,0.08,0.059,1,1
ITM003,Bread,Bakery,HH010,8.04,1.45,0.304,0.087,3,0
ITM003,Bread,Bakery,HH004,2.75,1.94,0.511,0.311,5,1
ITM013,Frozen Peas,Frozen,HH011,0.26,0.35,0.14,0.059,3,1
ITM004,Rice,Grains,HH008,0.95,0.42,0.205,0.124,4,1
ITM009,Cheese,Dairy,HH006,0.26,0.39,0.079,0.047,1,1
ITM012,Cooking Oil,Pantry,HH020,0.81,0.19,0.03,0.021,3,0
ITM002,Eggs,Dairy,HH010,1.11,1.32,0.25,0.079,4,1
ITM001,Milk,Dairy,HH016,12.42,1.85,0.532,0.412,4,0
ITM007,Tomatoes,Produce,HH015,0.93,0.89,0.221,0.043,3,1
ITM011,Cereal,Pantry,HH010,0.86,0.28,0.057,0.034,5,0
ITM013,Frozen Peas,Frozen,HH003,2.68,0.47,0.165,0.121,3,0
ITM006,Chicken Breast,Meat,HH011,3.8,0.95,0.219,0.05,4,0
ITM015,Butter,Dairy,HH002,0.95,0.19,0.076,0.008,3,0
ITM005,Ice Cream,Frozen,HH006,1.46,0.67,0.182,0.068,1,1
ITM005,Ice Cream,Frozen,HH012,2.45,0.53,0.145,0.076,4,0
ITM012,Cooking Oil,Pantry,HH006,0.29,0.15,0.036,0.027,2,1
ITM006,Chicken Breast,Meat,HH019,2.65,1.19,0.413,0.045,4,1
ITM015,Butter,Dairy,HH019,0.84,0.16,0.129,0.062,4,1
ITM015,Butter,Dairy,HH004,1.05,0.23,0.115,0.079,3,0
ITM006,Chicken Breast,Meat,HH014,3.45,0.62,0.374,0.278,3,1
ITM008,Yogurt,Dairy,HH004,9.27,1.5,0.557,0.07,2,0
ITM004,Rice,Grains,HH013,0.64,0.55,0.145,0.088,5,1
ITM014,Orange Juice,Beverages,HH005,3.89,1.11,0.169,0.072,1,0
ITM004,Rice,Grains,HH006,0.3,0.5,0.117,0.066,1,1
ITM009,Cheese,Dairy,HH004,0.36,0.24,0.123,0.043,1,1
ITM006,Chicken Breast,Meat,HH009,2.06,0.61,0.528,0.334,4,1
ITM012,Cooking Oil,Pantry,HH012,0.34,0.19,0.052,0.018,4,1
ITM008,Yogurt,Dairy,HH010,3.31,1.26,0.283,0.136,5,0
ITM010,Bananas,Produce,HH020,0.73,1.12,0.219,0.114,2,1
ITM008,Yogurt,Dairy,HH006,0.97,1.77,0.335,0.264,1,1
ITM011,Cereal,Pantry,HH005,0.77,0.24,0.065,0.014,1,0
ITM012,Cooking Oil,Pantry,HH019,0.32,0.1,0.072,0.048,1,1
ITM004,Rice,Grains,HH017,1.97,0.34,0.128,0.049,3,0
ITM001,Milk,Dairy,HH008,2.42,1.55,0.627,0.255,4,1
ITM014,Orange Juice,Beverages,HH008,6.38,1.05,0.43,0.101,1,0
ITM013,Frozen Peas,Frozen,HH001,2.92,0.52,0.125,0.054,1,0
ITM015,Butter,Dairy,HH005,1.14,0.25,0.035,0.007,3,0
ITM009,Cheese,Dairy,HH013,1.06,0.22,0.15,0.096,2,1
ITM013,Frozen Peas,Frozen,HH007,0.81,0.38,0.151,0.072,2,1
ITM013,Frozen Peas,Frozen,HH018,2.39,0.52,0.134,0.067,2,0
ITM013,Frozen Peas,Frozen,HH002,0.2,0.37,0.157,0.03,4,1
ITM002,Eggs,Dairy,HH020,5.02,1.33,0.295,0.055,3,0
ITM002,Eggs,Dairy,HH009,1.41,0.99,0.522,0.248,1,1
ITM007,Tomatoes,Produce,HH017,1.58,0.81,0.356,0.075,2,1
ITM006,Chicken Breast,Meat,HH007,0.7,0.71,0.273,0.203,1,1
ITM009,Cheese,Dairy,HH009,0.94,0.28,0.123,0.076,5,1
ITM008,Yogurt,Dairy,HH005,8.09,1.75,0.232,0.065,3,0
ITM003,Bread,Bakery,HH004,12.25,1.85,0.898,0.382,2,0
ITM014,Orange Juice,Beverages,HH017,0.7,1.16,0.28,0.186,5,1
ITM001,Milk,Dairy,HH004,1.46,1.36,0.713,0.171,2,1
ITM006,Chicken Breast,Meat,HH001,3.91,0.68,0.278,0.119,2,0
ITM006,Chicken Breast,Meat,HH001,6.82,1.17,0.241,0.108,1,0
ITM004,Rice,Grains,HH009,0.3,0.38,0.229,0.105,5,1
ITM001,Milk,Dairy,HH010,11.67,2.32,0.253,0.179,1,0
ITM007,Tomatoes,Produce,HH008,2.45,0.9,0.316,0.231,3,1
ITM004,Rice,Grains,HH005,1.9,0.59,0.113,0.087,5,0
ITM005,Ice Cream,Frozen,HH011,3.54,0.6,0.149,0.026,4,0
ITM012,Cooking Oil,Pantry,HH009,0.8,0.13,0.066,0.045,3,0
ITM007,Tomatoes,Produce,HH018,4.46,1.19,0.509,0.314,1,1
ITM012,Cooking Oil,Pantry,HH019,0.75,0.15,0.07,0.043,2,0
ITM005,Ice Cream,Frozen,HH004,4.93,0.71,0.266,0.174,5,0
ITM003,Bread,Bakery,HH001,4.96,1.53,0.444,0.175,3,0
ITM012,Cooking Oil,Pantry,HH020,0.16,0.1,0.035,0.015,4,1
ITM013,Frozen Peas,Frozen,HH012,3.69,0.54,0.12,0.042,5,0
ITM007,Tomatoes,Produce,HH003,1.86,1.18,0.534,0.383,3,1
ITM004,Rice,Grains,HH020,0.68,0.45,0.082,0.065,3,1
ITM003,Bread,Bakery,HH014,6.18,1.37,0.78,0.432,2,1
ITM011,Cereal,Pantry,HH006,1.69,0.39,0.062,0.024,1,0
ITM007,Tomatoes,Produce,HH014,3.58,1.07,0.398,0.107,2,1
ITM013,Frozen Peas,Frozen,HH013,2.24,0.42,0.195,0.046,2,0
ITM002,Eggs,Dairy,HH014,5.22,1.58,0.413,0.108,5,0
ITM009,Cheese,Dairy,HH017,1.04,0.27,0.097,0.076,5,0
ITM007,Tomatoes,Produce,HH010,3.98,0.87,0.256,0.196,3,0
ITM007,Tomatoes,Produce,HH008,9.47,1.38,0.516,0.235,2,0
ITM001,Milk,Dairy,HH020,1.36,1.28,0.456,0.311,2,1
ITM001,Milk,Dairy,HH020,1.18,1.4,0.306,0.17,2,1
ITM014,Orange Juice,Beverages,HH007,0.86,0.76,0.317,0.194,2,1
ITM015,Butter,Dairy,HH015,0.7,0.27,0.048,0.029,1,0
ITM006,Chicken Breast,Meat,HH001,2.59,0.77,0.232,0.031,5,0
ITM014,Orange Juice,Beverages,HH006,6.32,0.95,0.279,0.139,5,0
ITM009,Cheese,Dairy,HH005,0.61,0.22,0.06,0.013,2,1
ITM003,Bread,Bakery,HH006,3.51,1.48,0.467,0.099,5,1
ITM012,Cooking Oil,Pantry,HH019,0.24,0.19,0.056,0.025,1,1
ITM009,Cheese,Dairy,HH012,0.67,0.29,0.097,0.028,1,1
ITM003,Bread,Bakery,HH005,3.07,1.4,0.222,0.12,4,0
ITM010,Bananas,Produce,HH005,4.4,1.33,0.187,0.125,3,0
ITM005,Ice Cream,Frozen,HH005,1.99,0.47,0.112,0.031,4,0
ITM001,Milk,Dairy,HH001,6.41,1.65,0.466,0.358,4,0
ITM012,Cooking Oil,Pantry,HH019,0.58,0.14,0.078,0.011,4,1
ITM007,Tomatoes,Produce,HH020,0.73,1.33,0.249,0.054,5,1
ITM004,Rice,Grains,HH017,2.06,0.39,0.127,0.09,5,0
ITM007,Tomatoes,Produce,HH006,1.48,0.72,0.239,0.154,4,1
ITM015,Butter,Dairy,HH002,1.53,0.23,0.094,0.049,5,0
ITM012,Cooking Oil,Pantry,HH009,1.02,0.15,0.069,0.01,1,0
ITM008,Yogurt,Dairy,HH016,3.77,1.51,0.408,0.235,3,1
ITM001,Milk,Dairy,HH020,10.13,1.75,0.453,0.072,4,0
ITM001,Milk,Dairy,HH020,3.14,1.69,0.459,0.273,2,1
ITM009,Cheese,Dairy,HH009,0.51,0.37,0.116,0.031,2,1
ITM008,Yogurt,Dairy,HH003,8.11,1.54,0.423,0.305,2,0
ITM013,Frozen Peas,Frozen,HH009,2.49,0.56,0.16,0.031,4,0
ITM003,Bread,Bakery,HH005,12.75,1.97,0.211,0.081,3,0
ITM012,Cooking Oil,Pantry,HH007,0.95,0.18,0.039,0.03,4,0
ITM012,Cooking Oil,Pantry,HH018,0.77,0.14,0.07,0.009,4,0
ITM011,Cereal,Pantry,HH010,2.34,0.35,0.071,0.011,4,0
ITM009,Cheese,Dairy,HH015,1.42,0.24,0.045,0.005,2,0
ITM002,Eggs,Dairy,HH001,3.28,1.58,0.254,0.113,3,0
